dim:4	relative_error:0.04673	actual:0.00101s	our:0.00071s
dim:5	relative_error:0.02505	actual:0.00109s	our:0.00063s
dim:6	relative_error:0.02846	actual:0.00219s	our:0.00085s
dim:7	relative_error:0.01838	actual:0.00378s	our:0.00097s
dim:8	relative_error:0.02005	actual:0.01216s	our:0.00129s
dim:9	relative_error:0.01620	actual:0.04730s	our:0.00179s
dim:10	relative_error:0.01286	actual:0.19233s	our:0.00720s
dim:11	relative_error:0.01558	actual:0.80774s	our:0.02003s
dim:12	relative_error:0.00773	actual:3.29741s	our:0.04175s
